Feature_name , Sequence Length
YNR031C 4739
YJR138W 4754
YDR127W 4766
YLR310C 4769
YHL035C 4778
YNL242W 4778
YNL139C 4793
YCR089W 4829
YDR093W 4838
YOR191W 4859
YGR098C 4892
YCL014W 4910
YNL297C 4910
YJR140C 4946
YGL206C 4961
YML103C 4967
YMR162C 4970
YMR219W 4976
YDR283C 4979
YLL048C 4985
YOR341W 4994
Q0055 5012
YIL149C 5039
YML059C 5039
YER190W 5045
YJL039C 5051
YKR031C 5051
YDR141C 5096
YOR290C 5111
YMR229C 5189
YDL140C 5201
YNL172W 5246
YER132C 5261
YKL014C 5294
YJL109C 5309
YFL033C 5312
YMR306W 5357
YDL058W 5372
YDR545W 5390
YLR467W 5390
YDR420W 5408
YBR208C 5507
YPL082C 5603
YHL030W 5606
YLR024C 5618
YKR095W 5627
YLR342W 5630
YPL231W 5663
YGR032W 5687
YLR305C 5702
Q0120 5711
YGR296W 5727
YNL339C 5727
YPL283C 5727
YBR275C 5750
YHR023W 5786
YLR422W 5798
YGR184C 5852
YNL271C 5861
YGR271W 5903
YDR170C 6029
YJL207C 6044
YJL005W 6080
YGR217W 6119
YKL182W 6155
Q0060 6178
YCR093W 6326
YMR207C 6371
YFL007W 6431
YDL171C 6437
YER172C 6491
YCR032W 6503
YER155C 6503
YPL085W 6587
YJL130C 6644
YNL262W 6668
YLR430W 6695
YNR016C 6701
YFR019W 6836
YBR136W 7106
Q0105 7107
YIL129C 7130
YHR165C 7241
YJR066W 7412
YKL203C 7424
YBL004W 7481
YGL195W 8018
Q0065 8117
YDR150W 8246
YBL088C 8363
YLR087C 8876
YOL081W 9239
YBR140C 9278
Q0070 9349
YLL040C 9434
YDR457W 9806
YHR099W 11234
YKR054C 12278
Q0045 12883
YLR106C 14732
